class,month,sd,mean,lower,upper,lower_q,upper_q,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Cropland,May,872600.2615086917,3077641.9952072,1367376.9097499317,4787907.080664468,1374105.7416432872,4728183.922158788,6466798.402062309,3040871.7017773995,9892725.10234722,3014016.627207793,9850505.057106527,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Nov,980556.1066498775,3473998.1484142053,1552143.4945596296,5395852.802268781,1586113.7193480758,5345053.293219996,7272717.318282139,3447030.803264068,11098403.833300209,3443541.338197253,11066896.586851967,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Oct,812432.553045923,2858076.380282938,1265737.8364450024,4450414.924120873,1270884.8730947508,4397430.698921399,5971481.854047146,2792181.1739022885,9150782.534192001,2766185.8912604535,9114058.410326952,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Sep,1085231.1021341116,3861172.3527657,1734158.4776801327,5988186.227851267,1800316.9653497422,5930531.778112675,8069727.397793725,3853814.3335178844,12285640.462069565,3879306.8174796505,12249902.945852611,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Apr,6813.051581908973,82526.85565216998,69173.51992681476,95880.1913775252,68594.58992910486,95650.6918840784,6585676.5059218565,3099573.7831315203,10071779.228712194,3076634.2650492955,10031088.959818974,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Aug,11345.737255645716,125301.54744432257,103064.31104520266,147538.78384344248,102561.3870891931,147715.64197372622,10238654.10862045,4988183.620262949,15489124.596977955,5040992.322713002,15460627.57090869,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Dec,9258.522739616132,106699.79645698154,88553.42533728882,124846.16757667426,88039.79943231744,125142.10968066649,8624950.431301504,4142081.425170674,13107819.437432332,4182184.0810119784,13076522.560608072,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Feb,10116.36685429659,114547.70369435567,94719.9890055396,134375.41838317175,94264.540689152,134763.0756540324,9305150.180099864,4497053.319960042,14113247.040239688,4548878.417789296,14092165.27517839,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Jan,10134.16475684171,114707.1863470404,94844.58841023555,134569.78428384528,94393.03725053804,134967.9552540391,9335055.901653986,4512081.897449157,14158029.905858817,4564828.441230254,14136679.010785317,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Jul,11660.011209206425,127962.07383515671,105108.87180577879,150815.27586453463,104657.14239468687,150893.34413005976,10455750.241305798,5105343.595110757,15806156.887500841,5154034.672636566,15780600.69438172,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
