month,GHG,class,mean,sd,min,max,lower,upper,lower_quantile,upper_quantile,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Apr,CH4,Barren,-7.868379018061594,5.59752944110133,-25.555163643291962,10.546369077888357,-18.839335125022817,3.102577088899629,-18.78107391979412,3.0759238069847714,-220.12758038515005,-488.91835526315697,48.66319449285688,-495.3478004973268,51.2017626886261,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Apr,CH4,Cropland,-24.83869016763619,43.76394750553215,-144.33651553498325,93.16231277310847,-110.61445109978072,60.93707076450835,-112.24285218622806,59.464799696538385,-220.12758038515005,-488.91835526315697,48.66319449285688,-495.3478004973268,51.2017626886261,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Apr,CH4,Forestland,-58.9772707689997,0.4031408556262265,-60.30433986117472,-57.72940715020832,-59.767412326723765,-58.18712921127564,-59.7767006367061,-58.207870078603655,-220.12758038515005,-488.91835526315697,48.66319449285688,-495.3478004973268,51.2017626886261,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Apr,CH4,Grassland,-136.3898706190339,87.33112005643052,-416.55467371004244,149.25530338788334,-307.55572065918125,34.77597942111345,-312.4062965759309,38.83293909213834,-220.12758038515005,-488.91835526315697,48.66319449285688,-495.3478004973268,51.2017626886261,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Apr,CH4,Wetland,7.946630188581339,0.0449325812741494,7.802154491141967,8.087596830233451,7.858563947551588,8.03469642961109,7.859122821332387,8.035970171568259,-220.12758038515005,-488.91835526315697,48.66319449285688,-495.3478004973268,51.2017626886261,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Apr,CO2,Barren,78079.61664195122,23558.895576645577,5514.387045668361,154307.12431091815,31905.02979618591,124254.20348771653,34620.80439483499,125780.65714297298,6153344.207773736,2670792.6124946256,9635895.803052846,2681611.1750260955,9617138.234546635,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Apr,CO2,Cropland,3020087.4283493687,890657.3816944993,426847.4148943921,5869452.796048999,1274431.0376634065,4765743.819035331,1318988.9538165175,4739706.453073517,6153344.207773736,2670792.6124946256,9635895.803052846,2681611.1750260955,9617138.234546635,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Apr,CO2,Forestland,82340.10787855001,6215.068189176444,61953.80829055017,100354.44158270024,70158.79806630361,94521.41769079641,70253.44713716705,94476.45052372014,6153344.207773736,2670792.6124946256,9635895.803052846,2681611.1750260955,9617138.234546635,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Apr,CO2,Grassland,2947217.278736191,850034.8843176434,533080.5154992491,5510407.714218338,1281179.519870939,4613255.037601443,1244634.4589376673,4619846.348792605,6153344.207773736,2670792.6124946256,9635895.803052846,2681611.1750260955,9617138.234546635,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Apr,CO2,Wetland,25619.77616767531,6378.4585678591,5996.148182692006,46210.259377996124,13118.227097790545,38121.32523756008,13113.510739908492,37328.32501382014,6153344.207773736,2670792.6124946256,9635895.803052846,2681611.1750260955,9617138.234546635,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
