GHG,sd_co2e,mean_co2e,lower_co2e,upper_co2e,digits,col_order,diff,mean_div_diff
All,12642440.042780297,68311441.97028714,43532714.80973075,93090169.13084354,8,1,24778727.16055639,0.3627317246697001
CH4,74129.71650855445,-148937.3125884,-294228.887129331,-3645.738047469029,5,3,145291.574540931,-0.9755216608644989
CO2,12621267.266376395,64494469.556,39757240.27464797,89231698.83735204,8,2,24737229.28135203,0.3835558219433513
N2O,693236.9647490217,3965909.726875551,2607190.2432156056,5324629.2105354965,7,4,1358719.4836599454,0.3425997002534853
